t,D1,D2,scale,sc_length,rapt
9.50096000000E-02,2.65948000000E-01,2.56617000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.00020000000E-01,2.66831000000E-01,2.57582000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.05021000000E-01,2.67589000000E-01,2.58540000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.10013000000E-01,2.68120000000E-01,2.59291000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.15007000000E-01,2.69018000000E-01,2.60286000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.20020000000E-01,2.69911000000E-01,2.61256000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.25005000000E-01,2.70341000000E-01,2.62030000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.30010000000E-01,2.70753000000E-01,2.62657000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.35017000000E-01,2.71397000000E-01,2.63464000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.40006000000E-01,2.71909000000E-01,2.64175000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.45015000000E-01,2.72261000000E-01,2.64714000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.50007000000E-01,2.72692000000E-01,2.65285000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.55020000000E-01,2.73210000000E-01,2.65902000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.60020000000E-01,2.73590000000E-01,2.66343000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.65006000000E-01,2.73928000000E-01,2.66701000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.70018000000E-01,2.74339000000E-01,2.67119000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.75014000000E-01,2.74765000000E-01,2.67592000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.80017000000E-01,2.75050000000E-01,2.67996000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.85008000000E-01,2.75272000000E-01,2.68365000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.90010000000E-01,2.75529000000E-01,2.68762000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.95002000000E-01,2.75838000000E-01,2.69210000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.00005000000E-01,2.76120000000E-01,2.69650000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.05016000000E-01,2.76141000000E-01,2.69881000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.10002000000E-01,2.75307000000E-01,2.69359000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.15000000000E-01,2.73838000000E-01,2.68226000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.20011000000E-01,2.69005000000E-01,2.64008000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.25014000000E-01,2.63784000000E-01,2.59269000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.30011000000E-01,2.57655000000E-01,2.53560000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.35003000000E-01,2.50893000000E-01,2.47141000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.40014000000E-01,2.43481000000E-01,2.40037000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.45015000000E-01,2.35860000000E-01,2.32668000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.50007000000E-01,2.28654000000E-01,2.25629000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.55012000000E-01,2.22091000000E-01,2.19135000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.60010000000E-01,2.16048000000E-01,2.13115000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.65013000000E-01,2.10432000000E-01,2.07495000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.70003000000E-01,2.05350000000E-01,2.02376000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.75011000000E-01,2.00817000000E-01,1.97787000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.80013000000E-01,1.96659000000E-01,1.93586000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.85007000000E-01,1.92801000000E-01,1.89697000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.90006000000E-01,1.89222000000E-01,1.86087000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.95009000000E-01,1.85878000000E-01,1.82712000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.00013000000E-01,1.82782000000E-01,1.79587000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.05016000000E-01,1.79884000000E-01,1.76663000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.10001000000E-01,1.77181000000E-01,1.73922000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.15016000000E-01,1.74616000000E-01,1.71305000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.20012000000E-01,1.72215000000E-01,1.68845000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.25004000000E-01,1.69967000000E-01,1.66540000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.30005000000E-01,1.67842000000E-01,1.64369000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.35013000000E-01,1.65820000000E-01,1.62313000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.40011000000E-01,1.63929000000E-01,1.60390000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.45015000000E-01,1.62150000000E-01,1.58585000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.50007000000E-01,1.60504000000E-01,1.56910000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
-3.99979000000E-02,1.87659000000E-09,2.11113000000E-09,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
-3.49166000000E-02,1.93891000000E-02,1.75802000000E-02,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
-2.99933000000E-02,3.49450000000E-02,3.04392000000E-02,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
-2.49331000000E-02,4.98518000000E-02,4.20903000000E-02,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
-1.99909000000E-02,6.17307000000E-02,5.15710000000E-02,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
-1.49571000000E-02,7.03830000000E-02,5.91340000000E-02,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
-9.94800000000E-03,7.68442000000E-02,6.53409000000E-02,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
